model_name,task_type,best_params,best_optuna_score,best_trial_fold_scores,data_shapes,cv_fold_metrics,y_train_pred,y_test_pred,y_val_true,y_val_pred,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,val_r2,val_rmse,val_mae
catboost,regression,"{'iterations': 1200, 'depth': 8, 'learning_rate': 0.036632276741437694, 'l2_leaf_reg': 0.9064040947953994, 'od_wait': 20}",0.6476041712250071,[0.6476041712250071],"{'train': (1469, 608), 'test': (82, 608), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 608)}",,"[22.83155979 49.01940713  5.60904572 ... 23.33901783 10.85764848
  6.33209407]","[ 3.09255959 17.90757702 20.0385594   7.11041668 11.69295935  9.67720458
  9.84001451  5.57298323  7.70972494  5.28043875 17.99787349 18.46931845
 16.85728612 14.38831381 47.77892103  7.82438147  5.69198515 14.07776972
  6.6003356  10.81608232 14.63282295 15.05675252 15.21133904  6.04003182
 11.62290706  8.19566153 19.77327676 28.58505271  7.52003462 17.66949106
  5.16286187 16.99103517 22.97525522 14.4848475  11.94063084 19.84635964
  9.09327544  8.36618443  5.10048232  5.42338378  6.66658761 14.09634441
 19.28886467 20.74598506 31.15952402 16.99796099 13.61504322 24.38971414
 24.05379737  7.03906945  8.027948    6.89492614 12.93354806  7.89719897
 31.82206375  8.85879951 15.23988229  6.30329106  2.9347602  14.57133774
  7.53285274 14.01669161 17.43988548  9.80407043  9.14288662 14.6532782
 11.249027    8.16062791 19.80657542 27.00023918 10.55955944 12.71484021
  8.33519228 10.34257361  5.68032262 26.70645804 13.38258897 11.21542054
 13.54655087 29.70464418 11.52033202 10.99631705]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[10.33722561 10.868523    6.43607694  7.32020993 11.52454846 31.9136596
 14.44050901  8.22725755 16.07525943 17.16949208 14.08166854 13.33160387
  6.38668941  5.30682183  8.74025073 13.36396759  8.85977281 12.57330091
 16.24401931  6.67510095 18.22960987 11.39914822 27.00853919  6.03286829
  3.99002445 26.67909813 10.939751   15.56488382  5.37440162 12.51987907
 14.41426387 34.42982257  9.93834562 20.08738835 11.68744356  6.99461061
 14.68919304 11.50926185  7.52675982  9.85559124 13.58422355 14.0299071
  8.34832489  3.34100231  9.94699545  9.18083891 11.40818775 13.35073433
  5.13813855  5.91610989 14.46822085 10.44062836 11.77934259 13.28211481
 14.83229417 60.39821908 18.0200316   7.90974246 12.57442811 13.02086008
  9.72885827 17.02655428 12.29557572  7.04610452  4.2858429  11.1274705
  7.47648521 19.38114304 10.97854793 15.37969845 20.87743081  8.43517638
  1.43770437  7.54874751  4.34038399 19.12216476  8.053327   19.02673863
 35.2468459  22.71668183  7.80816223  7.41627637]",0.9838893103535448,0.7026761019285594,1.4031529090876271,5.5064421983391165,0.7253331744164143,3.687281952977214,0.6476041712250071,6.539590518715139,4.077927998491423
xgboost,regression,"{'n_estimators': 300, 'learning_rate': 0.11220160794120146, 'max_depth': 6, 'min_child_weight': 3, 'gamma': 0.3792707391660529, 'subsample': 0.6089177132756087, 'colsample_bytree': 0.7091437046502106, 'reg_alpha': 0.004818465481842673, 'reg_lambda': 2.179094763275277e-06}",0.6822272350604405,[0.6822272350604405],"{'train': (1469, 608), 'test': (82, 608), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 608)}",,[23.070251  48.979977   5.7579994 ... 24.642345  11.840579   6.053291 ],"[ 4.0157895 17.667511  20.481686   6.668719  11.603778   8.880621
  9.638527   5.8478923 -2.1925924  5.04022   15.4006    20.983072
 15.224982  15.372583  48.091442   7.3581743  5.37031   13.744496
  9.012258   9.480452  14.636467  14.438227  17.953842   7.161227
 12.209978   6.6142874 21.575464  29.345467   7.4174147 20.818054
  6.4454894 15.777797  29.544939  14.563514  13.459646  20.297062
 10.676152   9.620408   4.353933   5.9581823  5.2762294 12.354157
 18.056318  24.505402  29.822155  17.323032  17.66751   17.75343
 27.2059     2.4029598  8.431121   6.5924406 20.29696    7.857931
 38.360844   9.2490635 17.930101   5.561235   2.1038835 12.992831
  6.6994824 14.172811   9.238669   9.357123  12.178073  13.773592
 11.286584   6.7134495 20.012964  26.443846  11.294805  12.582242
  8.47332   13.23273    6.591351  26.342762  14.026651  16.399899
 14.093099  27.574663  11.717364  12.029959 ]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[10.163588   9.91726    5.503422   6.474132   9.238825  43.74804
 13.830033   6.4991593 15.551423  12.299693  13.561715  13.5857935
  3.899649   2.718378   7.5807056 14.110868   5.958641  12.882834
 13.233937   8.156625  13.501774  12.185354  30.410275   6.002705
  3.9775665 25.293295  10.869282  16.458992   8.175731  12.932387
 14.799328  36.277752  10.574131  20.059328  12.494989  13.337308
 13.135338  11.123      5.570558   8.813769  11.900821  11.819255
  7.862834   4.775005  10.153541   9.384748  10.455276  12.074547
  5.284494   6.433794  13.788685   7.0217104 12.854212  18.162119
 14.411699  66.22566   17.84786    5.689439  12.539602  12.228097
  9.6553545 20.319084  10.298136   6.9433727  4.017604  12.422414
  6.734924  14.746748  10.494794  14.331879  20.646818  10.725924
  1.2016598  7.413591   3.789885  15.291276   7.527267  21.147621
 34.379494  21.599216   7.4591837  7.6068735]",0.974733595112711,0.7445537031449587,1.7571937944487057,5.103944947858308,1.0557835584125037,3.4635597753757383,0.6822272350604405,6.210027342095351,3.98582081872661
