iter	Passed	Remaining
0	2	2858
1	5	3053
2	8	3411
3	10	3104
4	15	3594
5	17	3565
6	21	3583
7	23	3541
8	26	3526
9	32	3837
10	36	3978
11	39	3916
12	42	3913
13	46	3900
14	49	3909
15	52	3897
16	55	3848
17	58	3838
18	61	3827
19	64	3808
20	66	3731
21	70	3754
22	73	3742
23	76	3734
24	79	3725
25	82	3742
26	85	3733
27	89	3738
28	92	3724
29	95	3722
30	98	3725
31	102	3726
32	104	3712
33	108	3707
34	111	3705
35	114	3698
36	118	3717
37	121	3702
38	124	3691
39	126	3674
40	129	3670
41	132	3664
42	135	3656
43	139	3652
44	141	3636
45	145	3638
46	149	3666
47	152	3669
48	155	3664
49	160	3684
50	164	3697
51	168	3711
52	172	3724
53	177	3763
54	180	3765
55	184	3759
56	188	3778
57	191	3768
58	194	3759
59	197	3748
60	200	3737
61	203	3737
62	207	3739
63	208	3693
64	210	3683
65	214	3677
66	218	3697
67	221	3684
68	224	3673
69	227	3669
70	234	3722
71	239	3759
72	244	3769
73	246	3756
74	250	3750
75	253	3743
76	256	3736
77	259	3728
78	262	3721
79	265	3714
80	268	3707
81	271	3705
82	274	3697
83	278	3694
84	280	3685
85	283	3675
86	287	3674
87	290	3669
88	293	3666
89	297	3670
90	302	3688
91	305	3683
92	309	3682
93	312	3679
94	315	3670
95	318	3665
96	321	3660
97	325	3657
98	328	3654
99	331	3646
100	334	3638
101	338	3638
102	342	3645
103	345	3637
104	348	3632
105	351	3626
106	354	3621
107	358	3622
108	361	3615
109	364	3607
110	367	3602
111	370	3600
112	373	3594
113	376	3589
114	379	3583
115	382	3578
116	386	3574
117	389	3570
118	392	3565
119	395	3557
120	399	3561
121	402	3555
122	406	3555
123	409	3552
124	413	3558
125	421	3589
126	424	3582
127	427	3577
128	430	3572
129	434	3578
130	437	3571
131	440	3566
132	443	3561
133	447	3558
134	450	3553
135	453	3546
136	456	3541
137	459	3536
138	462	3532
139	465	3525
140	468	3520
141	471	3515
142	475	3512
143	478	3510
144	481	3502
145	484	3495
146	487	3491
147	490	3486
148	494	3484
149	496	3477
150	500	3474
151	503	3469
152	506	3466
153	509	3461
154	513	3459
155	516	3453
156	519	3452
157	523	3450
158	526	3446
159	529	3442
160	533	3445
161	537	3443
162	542	3450
163	545	3444
164	548	3441
165	551	3437
166	555	3433
167	557	3426
168	561	3422
169	563	3416
170	566	3411
171	569	3406
172	572	3400
173	576	3396
174	579	3392
175	582	3389
176	585	3384
177	590	3387
178	595	3398
179	599	3396
180	602	3393
181	606	3390
182	609	3385
183	612	3381
184	615	3377
185	619	3377
186	623	3376
187	626	3372
188	629	3368
189	633	3369
190	637	3365
191	640	3361
192	643	3356
193	646	3354
194	649	3348
195	652	3344
196	656	3340
197	659	3335
198	662	3334
199	665	3328
200	668	3324
201	672	3320
202	675	3319
203	678	3314
204	681	3309
205	684	3304
206	688	3300
207	691	3296
208	694	3292
209	697	3288
210	700	3285
211	703	3280
212	707	3276
213	710	3271
214	713	3266
215	716	3264
216	720	3262
217	723	3258
218	726	3254
219	732	3264
220	735	3259
221	739	3255
222	742	3252
223	745	3248
224	748	3244
225	751	3239
226	754	3234
227	757	3230
228	761	3226
229	763	3222
230	767	3217
231	770	3215
232	774	3212
233	777	3208
234	780	3205
235	783	3199
236	786	3195
237	789	3189
238	792	3185
239	795	3180
