model_name,task_type,best_params,best_optuna_score,best_trial_fold_scores,data_shapes,cv_fold_metrics,y_train_pred,y_test_pred,y_val_true,y_val_pred,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,val_r2,val_rmse,val_mae
ann,regression,"{'dropout_rate': 0.47089597268355077, 'weight_decay': 1.129059573387675e-06, 'learning_rate': 0.006430609835520862, 'epochs': 3602, 'patience': 50, 'n_layers': 4, 'n_units_l0': 712, 'n_units_l1': 592, 'n_units_l2': 480, 'n_units_l3': 256}",0.6386890494858584,[0.6386890494858584],"{'train': (1469, 608), 'test': (82, 608), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 608)}",,[23.433256  24.301872   7.0559177 ... 23.489813  10.915131   8.483714 ],"[ 4.3916388 15.705688  15.727849   7.535708  12.198957   8.50828
  8.190806   5.9673676  8.536486   4.1084943 13.105937  22.631239
 15.497184  13.565596  23.973019   5.923794   5.878373  10.784555
  5.012187  11.541272  20.81574   13.221628  16.025404   7.687173
 12.043667   8.4982815 19.583849  29.17747    6.6363025 15.363042
  5.197176  17.740507  22.75488   16.076994  11.234999  16.359276
  8.490238   9.9490795  5.9085803  5.270109   5.006461  14.654892
 12.224385  20.519833  27.75395   14.1135    13.940664  14.5686245
 31.415516   6.097254   7.2196784  7.257434   7.781      7.594578
 34.962086   7.2276487 13.833822   6.3959436  4.504447  13.102799
  7.8520985 14.378506  10.692627   8.615012  10.614136  17.838346
  9.0114565  9.049782  23.463139  24.852467   9.01955   10.200134
  7.8762283 10.247079   8.133923  27.687292  10.28471   14.137863
 10.474722  34.484867  22.378126   9.866929 ]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[ 9.647768  11.374405   6.5723934  5.0454845 13.466004  45.47842
 12.143084   8.669044  14.7104645 11.997801  11.504593  11.841182
  5.8483305  3.6556156  6.7355366 12.710667   5.537176  12.081126
 16.17299    6.4923058 14.167561   7.139194  28.28322    6.751946
  4.2531595 26.356356  10.217144  13.913779   9.258383  13.503777
 16.1283    34.412624   9.433419  20.206678  10.434858   4.9231906
 14.925842   7.8792553  5.01007   10.657799   8.7039385 13.663016
  8.405747   5.6205025  7.5970325 10.293891   8.383975   8.66293
  4.994035   7.0543876 16.382017   8.280275  11.418317  12.954443
 11.974617  49.464916  16.04841    7.2727075 10.69524    9.517611
  9.025566  25.320333  13.155599   8.042391   4.997468  13.3779955
  5.8421497 16.435556  15.177369  16.55065   18.016092   5.474097
  2.891835   6.7147746  5.4180503  8.967115   8.522093  27.305922
 37.384995  24.634722   9.439323   7.1404843]",0.8810545032777383,0.6567976857652493,3.812606091056025,5.916042422895443,2.362707367878207,3.9518878592514417,0.6386890494858584,6.621795098964501,4.061231162047968
xgboost,regression,"{'n_estimators': 1200, 'learning_rate': 0.012988262560967663, 'max_depth': 8, 'min_child_weight': 3, 'gamma': 0.2600340105889054, 'subsample': 0.8186841117373118, 'colsample_bytree': 0.6739417822102108, 'reg_alpha': 0.5710537951126793, 'reg_lambda': 0.01588775693167255}",0.5973305612020616,[0.5973305612020616],"{'train': (1469, 608), 'test': (82, 608), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 608)}",,[23.10573   49.08787    5.6442776 ... 24.29989   10.874338   6.6013064],"[ 3.6467474 18.039     21.820166   7.946463  11.615675   9.725664
  9.463406   5.8449006  4.8045993  4.810869  15.0876665 19.786106
 16.496254  14.8491335 48.633083   7.813828   5.444397  11.626989
  7.0257077 11.355305  13.89838   15.298058  17.890877   8.33664
 11.788501   7.244455  22.16816   28.109253   8.24513   20.510355
  4.9454436 16.308031  29.199793  13.660443  13.239858  18.758932
 10.207609   8.5985565  5.1573825  5.3650584  6.39548   14.751138
 18.16331   25.349411  30.568401  14.29346   14.594494  15.735766
 30.108421   5.683319   8.167394   7.192358  14.689794   8.031318
 34.007725   8.732969  17.079391   6.421158   3.0321302 10.862758
  7.341262  14.097326  12.468847  10.267351  11.210451  14.148409
  9.829617   6.2665887 20.006952  25.974728   9.359533  12.178959
  8.147898  10.401739   6.3002753 26.706598  14.138374  12.419936
 12.97973   28.100082  11.140602   9.815136 ]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[10.478532  12.124301   5.886971   6.8135915 11.673063  32.816105
 14.610947   7.8686643 15.7887    14.348443  15.85933   13.213158
  4.008712   4.6028986  6.828766  12.9287615  6.627147  13.205345
 14.758757   7.3953986 17.553865  11.174947  28.16664    6.0378804
  3.3525908 26.258392  11.255648  20.838167  10.057987  12.284727
 14.216905  35.297955  10.040687  20.93529   13.164306  13.289652
 13.06722   11.146075   4.1572194 15.946347  14.108297  11.228135
  8.523702   4.4244976  9.901195   9.903986  10.774511  10.384304
  4.9633684  7.600085  14.547635  10.476729  11.200551  14.862695
 15.397408  67.315506  18.094751   7.513463  12.065018  12.287818
  9.989249  19.85028    9.394395   7.4902606  5.787837  11.263844
  6.8191175 18.054436  10.970122  14.285265  20.71958    9.1834755
  2.0122354  7.384762   3.761598  18.362022   8.076078  26.435225
 34.350193  19.181498   7.6153593  7.4193892]",0.9802894011863091,0.7434260617479307,1.5520218975980462,5.115197962652514,0.8282027316541394,3.316012699708706,0.5973305612020616,6.990520451978825,4.508070746770719
