iter	RMSE
0	10.92833215
1	10.81133188
2	10.68071584
3	10.56690022
4	10.42510508
5	10.31163391
6	10.19428934
7	10.10030189
8	9.997374182
9	9.933991952
10	9.859849751
11	9.795214688
12	9.734745934
13	9.649221462
14	9.56869567
15	9.47431865
16	9.431402725
17	9.391222125
18	9.346375376
19	9.287076093
20	9.227815725
21	9.185120563
22	9.096688575
23	9.011296679
24	8.966734264
25	8.913530511
26	8.882766132
27	8.857708808
28	8.820895058
29	8.742847875
30	8.686217738
31	8.620745104
32	8.590114145
33	8.560014957
34	8.516979544
35	8.460764889
36	8.430194653
37	8.386679983
38	8.358462065
39	8.31789934
40	8.274467991
41	8.227872525
42	8.199907231
43	8.151381062
44	8.122380608
45	8.100595039
46	8.070430016
47	8.041176032
48	8.013986587
49	7.987086456
50	7.950691494
51	7.895878192
52	7.866486183
53	7.835432475
54	7.814701388
55	7.794930113
56	7.759005519
57	7.731857994
58	7.703983447
59	7.682261953
60	7.659729202
61	7.63999073
62	7.623606642
63	7.599864056
64	7.580032907
65	7.548356823
66	7.510366554
67	7.488578473
68	7.462764885
69	7.422788537
70	7.391939223
71	7.376939334
72	7.369474619
73	7.329877373
74	7.308515345
75	7.293206667
76	7.266536051
77	7.245500167
78	7.22811429
79	7.200290113
80	7.174599453
81	7.160679943
82	7.14799891
83	7.12604194
84	7.105174685
85	7.088502979
86	7.062211845
87	7.041501208
88	7.027200075
89	6.997702852
90	6.985187489
91	6.976196331
92	6.955531598
93	6.919839951
94	6.892532629
95	6.875844995
96	6.847219457
97	6.84264943
98	6.825065292
99	6.805783636
100	6.796813776
101	6.776840221
102	6.762243134
103	6.742213516
104	6.731103331
105	6.717150377
106	6.701906505
107	6.685857733
108	6.679057406
109	6.660971256
110	6.651314609
111	6.640728787
112	6.62923226
113	6.610869161
114	6.593021279
115	6.581372517
116	6.565082122
117	6.54115902
118	6.524367411
119	6.508887766
120	6.48816087
121	6.471031894
122	6.457276639
123	6.448166604
124	6.433579683
125	6.422539278
126	6.411800139
127	6.389403218
128	6.376595919
129	6.371051658
130	6.362035643
131	6.353849788
132	6.348408388
133	6.341618535
134	6.324567478
135	6.306465626
136	6.290889146
137	6.265558974
138	6.259345296
139	6.249284907
140	6.230965998
141	6.223400491
142	6.212217438
143	6.19164864
144	6.182232649
145	6.174696546
146	6.165884396
147	6.154826539
148	6.145788248
149	6.128193381
150	6.120258988
151	6.106744893
152	6.102634578
153	6.092100351
154	6.087147385
155	6.074668951
156	6.056000982
157	6.040581007
158	6.030372043
159	6.021342093
160	6.01139854
161	5.993829753
162	5.979366555
163	5.970082809
164	5.956054982
165	5.938293421
166	5.924708911
167	5.914108539
168	5.905881868
169	5.893327131
170	5.887892891
171	5.871682866
172	5.863153014
173	5.852362176
174	5.843740344
175	5.833257495
176	5.818901838
177	5.806066272
178	5.794461958
179	5.782251839
180	5.76927565
181	5.761023189
182	5.743504798
183	5.73710281
184	5.725626311
185	5.715565009
186	5.700457516
187	5.689966066
188	5.679121665
189	5.667831307
190	5.649266426
191	5.637247521
192	5.623453045
193	5.611041343
194	5.597474719
195	5.586153075
196	5.57378042
197	5.563099719
198	5.551385235
199	5.536195715
