model_name,task_type,best_params,best_optuna_score,best_trial_fold_scores,data_shapes,cv_fold_metrics,y_train_pred,y_test_pred,y_val_true,y_val_pred,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,val_r2,val_rmse,val_mae
catboost,regression,"{'iterations': 1200, 'depth': 5, 'learning_rate': 0.04036034464753772, 'l2_leaf_reg': 0.0432780562598775, 'od_wait': 40}",0.6833263342614231,[0.6833263342614231],"{'train': (1469, 825), 'test': (82, 825), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 825)}",,"[22.00483234 47.53808543  5.42753795 ... 23.92413205  9.80147398
  7.02116686]","[ 4.34847519 15.80513302 18.9905076   6.17901853 16.30029126  9.63509296
  9.30454125  5.37022996  9.86357289  4.39042564 10.93477021 17.52339908
 15.51488091 10.59497908 42.34584306  7.34112663  6.22961756 14.70745351
  3.05725387 12.39905936 16.58002302 16.83794181 15.23456293  6.30684937
 10.46675024 11.49737094 17.86042118 30.36001344  7.84005724 19.98955105
  5.55319512 13.72535059 17.1574987  13.33396591 14.60984377 17.41760753
  8.51995773  8.79622506  7.38565601  5.50184368  5.98270973 13.13615545
 28.33835858 20.50297153 27.99174118 12.46764358 12.47077146 15.57529636
 23.18106006  4.83149062  8.71279106  6.8202452  26.55727076  8.04923022
 22.93022933  7.93003272 19.94205463  6.54005551  4.52460682 20.4682566
  7.02462182 14.14725753 20.26309457  9.30415878  8.00550674 12.41780907
 12.31664703  8.63039042 19.40626019 31.76930606 11.18875971 10.64081082
  8.6081241  10.57557248  7.87122978 24.22429013 14.37056229 12.22381929
 10.68337973 29.41293982 13.02286439 18.82085171]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[ 8.11956473 12.18424056  4.27191524  9.81206774 13.29595354 40.25930405
 13.58453461  8.5536003  12.30397285 15.26801282 17.52974867 12.67435129
  6.55632296  3.49524675  6.94514105 13.68912598 12.0930821  12.5946246
 16.42824872  6.08043377 19.85553846 14.48153926 28.30313471  8.48568274
  5.66552538 27.34059523 11.12156399 14.22387183  8.63921506 13.34671125
 11.68069631 35.80067661 10.64061331 28.03649078 10.50901144 11.42622415
 14.44714469  9.05104432  9.86461552  9.66010137 15.85593518 14.89679011
  7.54644478  3.38662682  8.93645625  7.80897534 11.12203283 15.51333409
  5.74007821  5.25103062 18.86573311 10.01279279 10.85181668 14.20814993
 16.83230591 55.1187656  17.33125158  9.93913376 10.55415441 14.0181121
 10.71378986 22.38370574 16.14786213  7.03946586  6.16125013 12.74000719
 11.72614508 13.84504973 10.9882533  15.92413487 16.83241219 10.8030101
  3.05952705  8.5911264   5.62146673 20.7996661   8.47686667 19.63173816
 34.88472233 21.94002121  6.60999565  7.61948971]",0.9900339445010082,0.6375256800347183,1.1035946486106911,6.079877060755329,0.8477943571855049,4.021608807098685,0.6833263342614231,6.199278547743375,4.176051678373257
xgboost,regression,"{'n_estimators': 1200, 'learning_rate': 0.03702845398896802, 'max_depth': 4, 'min_child_weight': 1, 'gamma': 0.34540641483531154, 'subsample': 0.8045096940477634, 'colsample_bytree': 0.9687276012367627, 'reg_alpha': 3.484207981175779e-08, 'reg_lambda': 2.0082948018542006e-07}",0.6456741146654623,[0.6456741146654623],"{'train': (1469, 825), 'test': (82, 825), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 825)}",,[22.221577  49.06745    5.182739  ... 24.212864  10.082756   7.3556767],"[ 5.4163933 16.293726  18.910175   7.465123  15.064411   8.387072
  9.203181   5.4771147 11.026419   3.8275135  9.315154  16.87002
 17.63195   11.039235  42.34908    8.013949   5.7443643 12.897898
  2.703661  12.846352  17.132263  17.208363  15.961913   7.1388993
 10.956465   9.11296   21.789553  29.854717   7.602039  21.24639
  4.5592074 16.657986  17.038942  16.86088   21.932655  16.565172
  9.186548   8.167076   7.162263   5.2914867  7.548297  13.384608
 29.63506   23.412313  27.306671  14.94958   10.995849  15.423774
 23.822964   6.4530244  8.33437    7.1575785 30.334831   8.29391
 27.962265   8.060086  23.275633   7.3434296  5.7844534 21.809801
  6.8123007 13.785065  23.329493   7.895538   9.446095  13.988151
 10.805585   8.771818  25.113861  30.526424  10.476383  10.0065775
  8.796279  10.060318   7.8958826 23.42675   13.381149  11.621031
 10.69708   29.089315  13.374903  20.62097  ]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[ 9.016387  14.013159   4.0198383  9.296976  12.359609  38.62727
 11.953999   9.389998  12.752683  19.262012  19.641167  11.426169
  5.936002   4.67975    5.6323047 14.0938425 15.98127   11.311271
 18.36654    6.357522  20.923527  12.601572  25.646492   7.4672174
  4.6918635 25.60788   11.387426  13.8003     8.4586525 13.204245
 14.743658  35.779095  10.743043  26.6876     9.462659  14.9589205
 14.4967785  9.590699   9.031831   6.531394  19.081963  14.530881
  8.54653    3.110983   8.901919   7.4409103  8.023849  13.631657
  5.5970154  5.5356765 17.887302  11.884056  10.7518425 15.138461
 19.212666  57.965137  17.74783    8.051728  11.088108  13.585761
 10.905931  25.98892   15.416404   7.5923195  5.636539  12.793845
 10.257919  14.39196   11.12787   15.470425  19.593204  10.55547
  2.9269192  7.717261   5.441247  26.359127   8.727491  23.53928
 35.627754  20.280521   7.336715   7.6060114]",0.9934872223661777,0.5715085283643949,0.8921359912385105,6.610392804226696,0.6845156456289688,4.438458956858008,0.6456741146654623,6.557474590375399,4.401419404588095
