iter	Passed	Remaining
0	4	2332
1	9	2320
2	14	2384
3	21	2616
4	23	2322
5	29	2437
6	36	2597
7	40	2481
8	46	2519
9	52	2586
10	59	2642
11	67	2724
12	73	2753
13	78	2726
14	86	2808
15	96	2921
16	104	2959
17	112	3020
18	121	3073
19	129	3102
20	134	3071
21	141	3068
22	152	3162
23	163	3242
24	170	3240
25	179	3264
26	186	3265
27	191	3233
28	201	3273
29	206	3238
30	212	3218
31	223	3268
32	234	3312
33	241	3303
34	252	3357
35	258	3335
36	268	3358
37	274	3341
38	284	3363
39	288	3318
40	295	3305
41	302	3301
42	312	3316
43	319	3306
44	323	3274
45	329	3253
46	336	3238
47	344	3240
48	357	3288
49	362	3261
50	377	3321
51	380	3282
52	386	3256
53	393	3246
54	401	3246
55	409	3247
56	414	3224
57	422	3218
58	432	3235
59	444	3256
60	462	3326
61	468	3306
62	475	3297
63	480	3273
64	485	3250
65	489	3216
66	495	3201
67	505	3212
68	511	3192
69	514	3161
70	520	3144
71	527	3137
72	533	3118
73	543	3127
74	552	3128
75	563	3143
76	566	3110
77	580	3139
78	595	3171
79	600	3150
80	609	3150
81	615	3137
82	624	3140
83	634	3142
84	640	3126
85	645	3105
86	655	3112
87	660	3093
88	664	3069
89	671	3060
90	677	3043
91	682	3027
92	686	3002
93	691	2987
94	702	2993
95	707	2978
96	713	2965
97	720	2955
98	723	2932
99	731	2925
100	739	2920
101	749	2923
102	761	2933
103	766	2917
104	779	2933
105	793	2947
106	800	2940
107	809	2937
108	820	2942
109	828	2938
110	833	2921
111	842	2917
112	844	2893
113	853	2890
114	857	2870
115	866	2866
116	872	2855
117	878	2845
118	885	2835
119	892	2827
120	905	2837
121	911	2825
122	918	2815
123	929	2819
124	940	2821
125	945	2806
126	952	2798
127	960	2792
128	973	2800
129	979	2786
130	987	2780
131	994	2773
132	999	2758
133	1005	2747
134	1011	2736
135	1021	2733
136	1032	2735
137	1045	2743
138	1054	2738
139	1065	2739
140	1069	2722
141	1079	2721
142	1087	2714
143	1093	2703
144	1097	2686
145	1105	2679
146	1116	2681
147	1124	2674
148	1134	2671
149	1138	2656
150	1145	2646
151	1150	2634
152	1158	2628
153	1167	2622
154	1174	2613
155	1179	2600
156	1196	2613
157	1211	2622
158	1217	2611
159	1233	2622
160	1238	2608
161	1249	2607
162	1256	2597
163	1268	2599
164	1273	2586
165	1284	2583
166	1289	2572
167	1304	2577
168	1318	2583
169	1326	2575
170	1332	2563
171	1343	2561
172	1350	2552
173	1357	2543
174	1367	2539
175	1376	2533
176	1382	2523
177	1395	2525
178	1399	2509
179	1405	2498
180	1418	2499
181	1424	2489
182	1428	2474
183	1438	2471
184	1448	2465
185	1455	2457
186	1463	2450
187	1474	2447
188	1481	2438
189	1491	2433
190	1496	2421
191	1505	2414
192	1512	2405
193	1519	2397
194	1527	2388
195	1531	2375
196	1535	2361
197	1546	2358
198	1549	2344
199	1560	2340
200	1566	2330
201	1572	2319
202	1578	2310
203	1583	2297
204	1591	2290
205	1599	2282
206	1605	2272
207	1617	2270
208	1625	2262
209	1630	2251
210	1640	2247
211	1643	2232
212	1647	2219
213	1654	2211
214	1661	2202
215	1675	2202
216	1680	2191
217	1684	2179
218	1691	2170
219	1701	2165
220	1709	2158
221	1716	2148
222	1722	2140
223	1729	2131
224	1736	2122
225	1741	2110
226	1750	2105
227	1760	2100
228	1768	2092
229	1775	2084
230	1784	2077
231	1792	2070
232	1804	2068
233	1811	2059
234	1825	2059
235	1832	2049
236	1839	2040
237	1845	2031
238	1852	2022
239	1859	2014
240	1868	2007
241	1875	1999
242	1880	1989
243	1891	1984
244	1896	1973
245	1905	1967
246	1917	1963
247	1925	1956
248	1934	1949
249	1948	1948
250	1955	1940
251	1963	1932
252	1971	1925
253	1979	1917
254	1987	1909
255	1996	1903
256	2008	1898
257	2015	1890
258	2029	1888
259	2035	1879
260	2041	1869
261	2049	1861
262	2056	1853
263	2067	1848
264	2076	1841
265	2084	1833
266	2092	1825
267	2098	1816
268	2107	1810
269	2116	1803
270	2125	1796
271	2130	1785
272	2135	1775
273	2147	1770
274	2154	1762
275	2161	1753
276	2169	1746
277	2183	1744
278	2199	1742
279	2208	1735
280	2219	1729
281	2231	1724
282	2234	1713
283	2240	1704
284	2249	1697
285	2260	1691
286	2268	1683
287	2277	1676
288	2286	1669
289	2293	1660
290	2302	1653
291	2309	1645
292	2322	1641
293	2335	1636
294	2347	1631
295	2359	1626
296	2367	1618
297	2380	1613
298	2393	1608
299	2402	1601
300	2409	1592
301	2421	1587
302	2428	1578
303	2433	1569
304	2443	1562
305	2454	1556
306	2461	1547
307	2471	1540
308	2483	1535
309	2489	1525
310	2501	1520
311	2515	1515
312	2527	1510
313	2533	1500
314	2540	1492
315	2548	1484
316	2554	1474
317	2562	1466
318	2569	1458
319	2580	1451
320	2590	1444
321	2602	1438
322	2608	1429
323	2624	1425
324	2630	1416
325	2642	1410
326	2651	1402
327	2657	1393
328	2664	1384
329	2674	1377
330	2684	1370
331	2693	1363
332	2701	1354
333	2709	1346
334	2719	1339
335	2729	1332
336	2741	1326
337	2751	1318
338	2762	1312
339	2773	1305
340	2780	1296
341	2789	1288
342	2799	1281
343	2806	1272
344	2814	1264
345	2821	1255
346	2828	1247
347	2842	1241
348	2849	1232
349	2854	1223
350	2865	1216
351	2881	1211
352	2887	1202
