iter	RMSE
0	44.43204804
1	44.0384803
2	43.69111484
3	43.29397006
4	42.94952699
5	42.57534525
6	42.16759084
7	41.77649188
8	41.48789528
9	41.12943619
10	40.7680845
11	40.44778909
12	40.02679487
13	39.68415235
14	39.34098756
15	38.99672372
16	38.68975928
17	38.35928407
18	38.05352399
19	37.78548786
20	37.50945362
21	37.31668315
22	37.00777893
23	36.70106606
24	36.35413307
25	36.11937604
26	35.85342995
27	35.63284699
28	35.34435139
29	35.07031154
30	34.85970928
31	34.55970532
32	34.31113361
33	34.03352199
34	33.76090867
35	33.46502348
36	33.18532609
37	32.93775242
38	32.6971231
39	32.48580412
40	32.23588953
41	31.98917946
42	31.77915341
43	31.54410428
44	31.34612181
45	31.18679797
46	30.98479845
47	30.73786574
48	30.54024149
49	30.29724502
50	30.09172818
51	29.90689052
52	29.67839384
53	29.45864573
54	29.23429861
55	29.01279871
56	28.79158522
57	28.61337778
58	28.41221779
59	28.21381223
60	27.98240904
61	27.80950471
62	27.60624794
63	27.40350917
64	27.21319447
65	27.03496181
66	26.83694318
67	26.65697532
68	26.46282536
69	26.28077851
70	26.09671469
71	25.91073631
72	25.75645185
73	25.59871289
74	25.39580316
75	25.23773501
76	25.05665305
77	24.87995216
78	24.68286575
79	24.50968603
80	24.33734433
81	24.16934855
82	24.01623781
83	23.87737111
84	23.70902222
85	23.54515345
86	23.3781786
87	23.21572734
88	23.08276496
89	22.92367239
90	22.76343186
91	22.61344977
92	22.45650118
93	22.30151049
94	22.17037881
95	22.01502164
96	21.86505394
97	21.71467404
98	21.567475
99	21.41485746
100	21.27339155
101	21.11470415
102	20.97376797
103	20.81475193
104	20.67653276
105	20.54159552
106	20.40331662
107	20.27279267
108	20.13866858
109	20.00472375
110	19.89032054
111	19.74030496
112	19.61168909
113	19.4787594
114	19.35301901
115	19.22768798
116	19.08502544
117	18.95950224
118	18.83955229
119	18.71269286
120	18.57334992
121	18.43634546
122	18.31780561
123	18.20043666
124	18.08296267
125	17.98632206
126	17.8730935
127	17.76156717
128	17.62971304
129	17.51511935
130	17.40662724
131	17.29916563
132	17.19169564
133	17.08317677
134	16.95819832
135	16.83521539
136	16.7134795
137	16.59199793
138	16.47253095
139	16.35290233
140	16.25134143
141	16.15045789
142	16.03493148
143	15.91778898
144	15.80447361
145	15.69150589
146	15.59278078
147	15.4801864
148	15.36983362
149	15.27813111
150	15.16984082
151	15.06242117
152	14.95658632
153	14.85192326
154	14.74722762
155	14.64319713
156	14.54030405
157	14.43853326
158	14.33770875
159	14.23772457
160	14.13860006
161	14.04032663
162	13.94242122
163	13.8454159
164	13.7480492
165	13.65379428
166	13.55990657
167	13.46499236
168	13.37090115
169	13.27888071
170	13.18779568
171	13.09735157
172	13.00787749
173	12.91652118
174	12.82846505
175	12.73961303
176	12.65294832
177	12.56557342
178	12.47977867
179	12.39518427
180	12.3115398
181	12.22785776
182	12.1455262
183	12.06376464
184	11.98288993
185	11.90193022
186	11.82225317
187	11.7433418
188	11.65592732
189	11.56926703
190	11.49223023
191	11.41448596
192	11.33817876
193	11.25407764
194	11.17069788
195	11.0858826
196	11.00390771
197	10.9221554
198	10.84285329
199	10.76293225
200	10.68368868
201	10.60511572
202	10.52847528
203	10.45119149
204	10.37455891
205	10.29857107
206	10.22106169
207	10.14634753
208	10.07010656
209	9.996625198
210	9.923757369
211	9.851497221
212	9.779838992
213	9.708777013
214	9.638305696
215	9.56841954
216	9.499113125
217	9.428352721
218	9.35821487
219	9.290618411
220	9.22145493
221	9.154959409
222	9.089011902
223	9.023607529
224	8.956867727
225	8.890709979
226	8.825127918
227	8.760115299
228	8.695665988
229	8.631773963
230	8.567825942
231	8.50501665
232	8.442746983
233	8.381011345
234	8.319804237
235	8.259120255
236	8.198954086
237	8.139300509
238	8.080154387
239	8.02151067
240	7.963364392
241	7.905710664
242	7.84854468
243	7.79186171
244	7.735657096
245	7.679926257
246	7.624664681
247	7.569867927
248	7.515531621
249	7.461651457
250	7.407344929
251	7.353498242
252	7.300106199
253	7.247163727
254	7.194665871
255	7.142607793
256	7.090984763
257	7.039792158
258	6.989025456
259	6.938680235
260	6.888752166
261	6.839237011
262	6.790130622
263	6.741428933
264	6.693127961
265	6.645223801
266	6.597712624
267	6.550590675
268	6.503854267
269	6.457499785
270	6.411523676
271	6.365922453
272	6.320692689
273	6.275831017
274	6.231334129
275	6.187198769
276	6.143421737
277	6.099999885
278	6.056930115
279	6.014209377
280	5.971834669
281	5.929803034
282	5.888111561
283	5.846757381
284	5.805737666
285	5.76504963
286	5.724690524
287	5.684657641
288	5.644948307
289	5.605559888
290	5.566489782
291	5.527735423
292	5.489294276
293	5.451163842
294	5.41334165
295	5.375825261
296	5.338612267
297	5.301700288
298	5.265086972
299	5.228769996
300	5.192747062
301	5.157015901
302	5.121574269
303	5.086419946
304	5.051550738
305	5.016964474
306	4.982659008
307	4.948632216
308	4.914881996
309	4.88140627
310	4.848202979
311	4.815270088
312	4.782605581
313	4.750207462
314	4.718073757
315	4.686202509
316	4.654591782
317	4.623239658
318	4.592144238
319	4.56130364
320	4.530716002
321	4.500379477
322	4.470292237
323	4.44045247
