Index,Reactant1,Reactant2,Ligand,Temp,catalyst_Anion_Cl,catalyst_Anion_Br,catalyst_Anion_I,catalyst_Anion_acac,catalyst_Anion_NO3,catalyst_Anion_ClO4,catalyst_Anion_OTf,catalyst_Anion_OAc,catalyst_Additive_DME,catalyst_Additive_PPh3,catalyst_Additive_H2O,catalyst_Additive_None,base_Cation_Li,base_Cation_K,base_Cation_Na,base_Anion_OMe,base_Anion_OtBu,base_Anion_OEt,base_Anion_PO4,base_Anion_CO3,base_Anion_OAc,solvent_TPSA,solvent_MolLogP,solvent_MolMR,solvent_MaxPartialCharge,solvent_MinPartialCharge,solvent_NumHDonors,solvent_NumHAcceptors,solvent_MolWt,solvent_HeavyAtomCount,solvent_NumRotatableBonds,solvent_RingCount,solvent_FractionCSP3,solvent_Predicted_ET30,ee
1,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CN[C@H]1[C@@H](CCCC1)NC,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,67
2,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](CCCC1)[C@@H]1N(C)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,88
3,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CN[C@H]1[C@@H](CCCC1)N(C)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,81
4,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CN(C)[C@H]1[C@@H](CCCC1)N(C)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,-100
5,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,90
6,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H]([C@@H](N1CCCC1)C2=CC=CC=C2)C3=CC=CC=C3,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,85
7,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@@H](C2=CC=CC=C2)N3CCCCC3,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,66
8,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@@H](CN(C)C)C(C)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,82
9,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.575,29.265,0.06,-0.381,0,1,100.161,7,1,1,1,35.072,90
10,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,18.46,0.033,21.638,0.07,-0.377,0,2,88.106,6,0,1,1,36.239,90
11,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
12,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CC([C@@H](CO1)N=C1C2=NC=CC=N2)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,10
13,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,C1([C@H]2NCCCC2)=CC=CC=N1,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,10
14,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CC([C@@H](CO1)N=C1C2=NC3=C(C=CC=C3)C=C2)(C)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,42
15,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,CC([C@@H](CO1)N=C1C2=NC3=C(C=CC=N3)C=C2)C,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,0.797,20.053,0.057,-0.381,0,1,72.107,5,0,1,1,37.45,28
16,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,88
17,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,30,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
18,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,40,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
19,C#CCCOC(=O)C1=CC=CC=C1,CCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,60,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
20,C#CCCOC(=O)C1=CC=CC=C1,CCCOC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,91
21,C#CCCOC(=O)C1=CC=CC=C1,CCCC(CCC)OC(=O)C(Br)CC,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,95
22,C#CCCOC(=O)C1=CC=CC=C1,CCCCC(Br)C(=O)OC(C)(C)C,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,92
23,C#CCCOC(=O)C1=CC=CC=C1,CSCCC(Br)C(=O)OC(C)(C)C,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
24,C#CCCOC(=O)C1=CC=CC=C1,COC(=O)CCC(Br)C(=O)OC(C)(C)C,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2,50,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.23,1.187,24.67,0.057,-0.381,0,1,86.134,6,0,1,1,35.769,90
