iter	RMSE
0	10.8660536
1	10.658951
2	10.50623482
3	10.34633816
4	10.22650203
5	10.09665238
6	9.941977249
7	9.780848887
8	9.643889645
9	9.523142932
10	9.425592382
11	9.337128853
12	9.239382334
13	9.140526711
14	9.05019067
15	8.948724861
16	8.835228976
17	8.729482671
18	8.660481096
19	8.646719074
20	8.591721457
21	8.525597685
22	8.439994504
23	8.348047983
24	8.282765191
25	8.225207991
26	8.181562607
27	8.159245975
28	8.113224392
29	8.087444969
30	8.040252658
31	7.98958283
32	7.919266021
33	7.864867074
34	7.815103758
35	7.795406442
36	7.770954413
37	7.706323659
38	7.664848709
39	7.592812746
40	7.524818977
41	7.496853954
42	7.466800049
43	7.448822828
44	7.423004792
45	7.393048822
46	7.369335881
47	7.309679967
48	7.259886867
49	7.202782002
50	7.17018649
51	7.150698548
52	7.089198199
53	7.061508873
54	7.019122287
55	7.007298365
56	6.996233985
57	6.954055295
58	6.945131275
59	6.914115743
60	6.879077775
61	6.843823833
62	6.815899103
63	6.782577414
64	6.744676425
65	6.708895038
66	6.68135421
67	6.660059797
68	6.641050001
69	6.60895184
70	6.584995178
71	6.576471912
72	6.559647639
73	6.547294254
74	6.534527066
75	6.518448107
76	6.481096217
77	6.462382051
78	6.451076697
79	6.43026727
80	6.413037674
81	6.387349159
82	6.349910583
83	6.329856148
84	6.311121308
85	6.287257541
86	6.277292943
87	6.234827256
88	6.216794284
89	6.20583716
90	6.186847889
91	6.179422448
92	6.173727779
93	6.168790792
94	6.16311625
95	6.146604697
96	6.132397079
97	6.114356038
98	6.097403109
99	6.058130514
100	6.030382852
101	6.009340258
102	6.002895313
103	5.980350089
104	5.963597603
105	5.941843488
106	5.930607259
107	5.925166237
108	5.904690997
109	5.901227813
110	5.878384543
111	5.861135825
112	5.850760572
113	5.829996308
114	5.826437414
115	5.819741098
116	5.796361142
117	5.762943012
118	5.752819748
119	5.742905675
120	5.722032348
121	5.714248611
122	5.692203303
123	5.666764771
124	5.659599817
125	5.657626342
126	5.652700459
127	5.64373132
128	5.613978788
129	5.6120259
130	5.594158959
131	5.580728451
132	5.558389167
133	5.547621991
134	5.533259089
135	5.514484161
136	5.51103512
137	5.476918448
138	5.460078937
139	5.452931929
140	5.43775241
141	5.43366295
142	5.412877795
143	5.403551563
144	5.392947926
145	5.36702984
146	5.35381482
147	5.332801751
148	5.309944081
149	5.304718225
150	5.284249613
151	5.277638712
152	5.26168266
153	5.223938443
154	5.206152091
155	5.175733403
156	5.16586043
157	5.149130171
158	5.128574815
159	5.098034325
160	5.07510554
161	5.056980497
162	5.037698234
163	5.020330904
164	5.007980503
165	4.99480832
166	4.98754184
167	4.9783306
168	4.964690601
169	4.933863908
170	4.912654981
171	4.901901457
172	4.880464541
173	4.870940448
