model_name,task_type,best_params,best_optuna_score,best_trial_fold_scores,data_shapes,cv_fold_metrics,y_train_pred,y_test_pred,y_val_true,y_val_pred,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,val_r2,val_rmse,val_mae
catboost,regression,"{'iterations': 1200, 'depth': 7, 'learning_rate': 0.0452630157269338, 'l2_leaf_reg': 6.3530324852919415, 'od_wait': 20}",0.6338032867539636,[0.6338032867539636],"{'train': (1469, 174), 'test': (82, 174), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 174)}",,"[22.84913067 45.51785164  5.56689158 ... 25.85438571 11.34820891
  6.47508061]","[ 4.69449599 18.1214681  20.43000687  6.32094446 12.83554126  9.62149576
  9.69998544  6.17939447 11.25620802  4.73474858 18.32334565 20.34898777
 18.7829101  15.17869573 44.2362631   7.52188772  5.82113597 17.70301177
  4.7409821  11.63597797 16.45155321 18.06036925 18.62935756  7.38794847
 10.55621944 10.49896526 22.85932388 29.55443932  8.08316798 18.13633457
  4.73960462 18.09492444 24.67858327 14.44346201 12.36617365 17.70046881
  9.47959535  8.53317557  5.16061204  5.41669872  6.09108868 11.97499421
 14.89662584 21.88397999 32.77763972 18.64437306 14.22954173 17.64038894
 27.34349295  6.41140683  9.04472418  7.59656151 13.36453963  8.21145262
 30.03685675  8.40911069 21.08779835  6.47865371  3.64285756 15.09044421
  7.53288448 14.416462   16.23899893 10.36600044  8.49468068 16.16521712
 11.32384901  8.12562665 20.11173265 26.99925394 10.14572096 11.94479137
  8.14773468 10.79286838  6.03061217 28.37640247 13.19645407  9.54659407
 12.4297646  31.88342096 12.69458317 12.74304956]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[10.4777508  11.38580655  6.61478032  6.60097073 11.27424889 30.7980949
 15.18080903  8.17566197 16.52683836 16.25044463 15.70989787 14.20647029
  9.41177623  4.82886517  6.64086867 13.83873598 11.9124365  14.74039984
 15.28884199  7.48741429 19.8127648  11.67117352 27.04703897  6.73307703
  4.53210621 29.09739373 11.35157926 16.36002485  6.13033942 12.36995007
 12.97063262 34.54926394  9.87996137 26.39370183 11.80553656 10.24632737
 14.56452834 12.7445411   7.23791187 10.65485275 12.52498033 15.00161341
  7.98408759  3.66001701 10.25049707  9.78492102 12.88964831 13.20740893
  5.35684565  8.59450255 16.3603853  11.48143567 11.87568713 12.2708873
 14.25269424 61.81637455 18.16459202  7.53961487 11.76025788 12.85847055
 11.63414854 17.02370258 11.63924514  8.37114925  3.94394567 12.4223235
  7.17720654 16.75015142 10.54138929 16.4328824  19.89263427  7.60204339
  0.97061147  7.08101793  4.336465   12.7291245   9.80873803 17.73189011
 32.8846245  19.58842599  7.85005385  7.29072464]",0.9578374521765769,0.6904583896704903,2.269924219161398,5.6184393170621,1.4352951320094842,3.893439643238442,0.6338032867539636,6.666415781862461,4.275798278900685
xgboost,regression,"{'n_estimators': 1200, 'learning_rate': 0.079458759783224, 'max_depth': 3, 'min_child_weight': 7, 'gamma': 0.07308236754204629, 'subsample': 0.8625232746003125, 'colsample_bytree': 0.7600050100950896, 'reg_alpha': 0.003709898219268902, 'reg_lambda': 8.17835403947956e-06}",0.6422704002673478,[0.6422704002673478],"{'train': (1469, 174), 'test': (82, 174), 'hpo_method': 'Hold-out Val HPO', 'val': (82, 174)}",,[23.807726 42.57522   6.515259 ... 29.083002 12.087144  6.046   ],"[ 5.187788   16.96126    20.991905    5.763818   12.6763      6.917828
  9.429896    4.4394145   0.09901445  4.1244025  17.175962   21.480976
 14.833028   15.36531    41.927605    7.285594    7.0181894  15.957572
  9.181337   12.298309   16.476461   17.352568   15.424941    7.6927443
  9.004613    6.329134   24.77211    31.433657    8.49899    17.91989
  5.415738   14.519939   24.586052   13.445998   13.583126   18.761118
 11.610813    6.1972923   7.9244165   6.4528184   3.1443303  13.054726
 13.118618   22.595251   34.665146   15.607956   12.826277   14.270146
 27.96409     5.800128    7.895334    7.659157   15.228208    8.224516
 27.111158    8.281048   23.061323    6.6421685   0.774011   18.677948
  7.3856254  14.45437    23.581377   10.432724    9.46333    15.750985
 11.12732     3.7023957  20.141642   22.865465   10.235881   11.421459
  8.526894   12.284048    7.597857   29.876932   11.40077     8.156231
 12.780165   31.049826   13.226274   11.521046  ]","[10.09   8.11   5.12   6.048 15.05  55.6    9.533  8.2   14.4   35.5
 10.1   11.088  7.17   3.6    3.8   13.3    9.09   9.389 10.4    6.82
 23.671  9.79  41.9    6.544  6.9   27.3   13.8    4.7    6.95  12.68
 17.7   41.1   13.04  20.9    5.66   9.083 14.4   10.9    8.2    9.8
  5.9    9.52   6.25   4.7   11.9    6.3    6.48  33.15   5.34   7.15
 15.5    6.408 10.13  36.1   24.51  53.3   13.9    4.72  12.32  10.085
  8.93   9.2   10.3    6.65   3.02  10.8   15.2    9.7   12.9   15.1
 11.4    7.4    3.4    9.2    3.51  10.393  7.13  16.9   45.709  8.
  8.1    8.   ]","[11.442365   16.557972    7.4008107   6.5969214  11.561836   36.362984
 16.43781     5.9835067  13.947019   13.614015   10.902528   14.237198
  6.603487    3.223503    8.3092165  13.722925    6.321861   12.435812
 14.545842    7.789257   19.456665   16.101194   27.124857    7.8123264
  2.0233433  29.599411   10.32148    14.883141    8.593955   12.003492
 15.269788   35.992565   10.368465   26.806326   11.27501     9.070934
 14.381636   10.666508    2.8069763   8.68643    11.6205225  13.5044
  9.104275    3.7860973  10.592929   10.5388775  11.71978    12.76708
  5.2848988   9.320744   17.382996    8.735526   12.216014   10.990395
 14.267884   64.26189    17.799683    8.947185   11.045744   12.486497
 11.856507   18.204348   11.23628     8.004453    3.981025   13.997197
  5.05807    15.020154   11.005529   17.513805   18.012083    6.447487
 -0.08733907  6.9803767   3.31928     9.998314   10.297435   20.523645
 34.045406   14.279112    7.785399    7.5729213 ]",0.9186135380093061,0.6279121203768304,3.1537264456464826,6.159974828829134,2.0237276818195604,4.443334415637138,0.6422704002673478,6.588895417424431,4.323946684537865
